NAME,DATA,DEVICE,PUBLISHED AT
temperatureF,75.034401,sanaz,"April 28, 2021 at 09:45PM"
temperatureF,74.084,sanaz,"April 28, 2021 at 09:46PM"
temperatureF,74.974998,sanaz,"April 28, 2021 at 09:47PM"
temperatureF,74.321602,sanaz,"April 28, 2021 at 09:48PM"
temperatureF,74.499802,sanaz,"April 28, 2021 at 09:58PM"
temperatureF,73.846405,sanaz,"April 28, 2021 at 09:59PM"
temperatureF,73.014801,sanaz,"April 28, 2021 at 10:00PM"
temperatureF,74.084,sanaz,"April 28, 2021 at 10:01PM"
temperatureF,72.480194,sanaz,"April 28, 2021 at 10:02PM"
temperatureF,75.272003,sanaz,"April 28, 2021 at 10:03PM"
temperatureF,72.955399,sanaz,"April 28, 2021 at 10:04PM"
temperatureF,75.034401,sanaz,"April 28, 2021 at 10:05PM"
temperatureF,75.093803,sanaz,"April 28, 2021 at 10:06PM"
temperatureF,75.7472,sanaz,"April 28, 2021 at 10:07PM"
temperatureF,74.678001,sanaz,"April 28, 2021 at 10:08PM"
temperatureF,75.3908,sanaz,"April 28, 2021 at 10:09PM"
temperatureF,75.628403,sanaz,"April 28, 2021 at 10:10PM"
temperatureF,75.7472,sanaz,"April 28, 2021 at 10:11PM"
temperatureF,73.7276,sanaz,"April 28, 2021 at 10:12PM"
temperatureF,74.499802,sanaz,"April 28, 2021 at 10:13PM"
temperatureF,75.153198,sanaz,"April 28, 2021 at 10:14PM"
temperatureF,74.796799,sanaz,"April 28, 2021 at 10:15PM"
temperatureF,74.440399,sanaz,"April 28, 2021 at 10:16PM"
temperatureF,74.559196,sanaz,"April 28, 2021 at 10:17PM"
temperatureF,74.499802,sanaz,"April 28, 2021 at 10:18PM"
temperatureF,74.321602,sanaz,"April 28, 2021 at 10:19PM"
temperatureF,74.974998,sanaz,"April 28, 2021 at 10:20PM"
temperatureF,74.915596,sanaz,"April 28, 2021 at 10:21PM"
temperatureF,74.380997,sanaz,"April 28, 2021 at 10:22PM"
temperatureF,74.440399,sanaz,"April 28, 2021 at 10:23PM"
temperatureF,75.331398,sanaz,"April 28, 2021 at 10:24PM"
temperatureF,75.212601,sanaz,"April 28, 2021 at 10:25PM"
temperatureF,75.569,sanaz,"April 28, 2021 at 10:26PM"
temperatureF,74.796799,sanaz,"April 28, 2021 at 10:27PM"
temperatureF,74.618599,sanaz,"April 28, 2021 at 10:28PM"
temperatureF,75.687805,sanaz,"April 28, 2021 at 10:29PM"
temperatureF,74.678001,sanaz,"April 28, 2021 at 10:30PM"
temperatureF,75.806602,sanaz,"April 28, 2021 at 10:31PM"
